areaname;area vice;employyee
PROYECTO NIVEL DE TENSION 1 (CLS53000433);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010388
CENTRALES HIDRAULICAS MENORES (CLS51000490);GENERACION (CLS80000006);2000005008
DEVOPS TECNOLOGIA (CLS53000460);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000032859
CENTRO DE OPERACIONES TIEMPO REAL INTERNET (CLS53000522);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000029574
DISEÑO Y CONSTRUCCION INTERNET (CLS53000513);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000029370
SUPERVISION DE TURNO II (CLS53000066);CELSIA CENTROAMERICA (CLS80000009);2000004849
FINANZAS ESTRUCTURADAS (CLS53000420);FINANCIERA (CLS80000005);2000026301
CRECIMIENTO Y EXPERIENCIA (CLS53000524);ENERBIT (CLS80000022);2000030662
EVALUACION DE LA MEDIDA (CLS53000250);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023262
MANTENIIMENTO ZONA VALLE NORTE (CLS53000574);TRANSMISION Y DISTRIBUCION (CLS80000008);2000003573
CADENA DE ABASTECIMIENTO (CLS51000276);FINANCIERA (CLS80000005);2000003613
VENTAS (CLS53000514);COMERCIAL (CLS80000004);2000010469
EXPERIENCIAS DE SERVICIO ZONA (CLS53000371);COMERCIAL (CLS80000004);2000003549
SERVICIO PRESENCIAL (CLS53000541);COMERCIAL (CLS80000004);2000003511
SEGURIDAD Y SALUD EN EL TRABAJO (CLS51000337);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000002483
DESARROLLO DE PRODUCTO ENERBIT (CLS53000620);ENERBIT (CLS80000022);2000003494
ASEGURAMIENTO Y CALIDAD DE LA OPERACION (CLS51000887);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026802
PROCESOS COMERCIALES (CLS51000910);COMERCIAL (CLS80000004);2000027558
TECNOLOGIA (CLS51000727);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000027871
CANALES PROPIOS (CLS53000296);COMERCIAL (CLS80000004);2000028185
NUEVOS NEGOCIOS PAIS (CLS53000086);CELSIA CENTROAMERICA (CLS80000009);2000024878
MANTENIMIENTO TYD ZONA VALLE NORTE (CLS51000864);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023520
PROYECTO REDUCCION DE PERDIDAS ZONA VALLE (CLS53000039);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023756
EXPERIENCIAS DE SERVICIO (CLS53000568);COMERCIAL (CLS80000004);2000026298
REGIONAL COSTA (CLS53000289);COMERCIAL (CLS80000004);2000028627
MANTENIMIENTO ZONA VALLE SUR (CLS53000575);TRANSMISION Y DISTRIBUCION (CLS80000008);2000029462
CONTACT CENTER INTERNET (CLS53000521);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000031097
ALMACEN (CLS53000376);FINANCIERA (CLS80000005);2000030945
DESARROLLO ORGANIZACIONAL (CLS51000477);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000030658
SERVICIO POSVENTA CLIENTES B2B (CLS53000534);COMERCIAL (CLS80000004);2000023110
FACTURACION MEDIDA (CLS53000558);COMERCIAL (CLS80000004);2000023159
RETAIL (CLS53000280);COMERCIAL (CLS80000004);2000025206
EXPERIENCIAS DE SERVICIO (CLS53000566);COMERCIAL (CLS80000004);2000025455
PROYECTO REDUCCION DE PERDIDAS TOLIMA (CLS53000611);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025541
CATEGORIA (CLS53000327);FINANCIERA (CLS80000005);2000023218
DEVOPS TECNOLOGIA NEGOCIO (CLS53000547);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000010330
